Date,Tmean [°C]
2019.10.01,18.1
2019.10.02,19.5
2019.10.03,12.7
2019.10.04,12.2
2019.10.05,11.7
2019.10.06,11.8
2019.10.07,10.2
2019.10.08,10.6
2019.10.09,14.8
2019.10.10,13.3
2019.10.11,13.4
2019.10.12,15.9
2019.10.13,17
2019.10.14,18
2019.10.15,18.8
2019.10.16,15.7
2019.10.17,17.7
2019.10.18,17.8
2019.10.19,17.5
2019.10.20,18.9
2019.10.21,19.6
2019.10.22,19.4
2019.10.23,19.8
2019.10.24,18.5
2019.10.25,18.3
2019.10.26,16.7
2019.10.27,17
2019.10.28,14.8
2019.10.29,10.4
2019.10.30,9.5
2019.10.31,7.9
2019.11.01,7.5
2019.11.02,8.7
2019.11.03,13.1
2019.11.04,12.8
2019.11.05,12.8
2019.11.06,11.2
2019.11.07,11.8
2019.11.08,11
2019.11.09,12.8
2019.11.10,8.8
2019.11.11,7.9
2019.11.12,8.6
2019.11.13,13.4
2019.11.14,8.9
2019.11.15,11.5
2019.11.16,13.3
2019.11.17,12
2019.11.18,11.9
2019.11.19,9.9
2019.11.20,10.1
2019.11.21,10.5
2019.11.22,10.1
2019.11.23,6.8
2019.11.24,7.8
2019.11.25,8.2
2019.11.26,8.4
2019.11.27,7.6
2019.11.28,9.7
2019.11.29,9.2
2019.11.30,3.6
2019.12.01,2.5
2019.12.02,1
2019.12.03,-0.3
2019.12.04,-2.1
2019.12.05,-1.4
2019.12.06,-1.3
2019.12.07,0.6
2019.12.08,4
2019.12.09,5.2
2019.12.10,3.5
2019.12.11,1
2019.12.12,2.3
2019.12.13,4.2
2019.12.14,4.2
2019.12.15,5
2019.12.16,6.9
2019.12.17,10.7
2019.12.18,9.8
2019.12.19,7.6
2019.12.20,7.7
2019.12.21,10.3
2019.12.22,7.8
2019.12.23,7.3
2019.12.24,6.6
2019.12.25,6.5
2019.12.26,4.8
2019.12.27,3.1
2019.12.28,1.5
2019.12.29,-0.1
2019.12.30,-0.2
2019.12.31,1.9
2020.01.01,1.6
2020.01.02,1.4
2020.01.03,0.9
2020.01.04,3.9
2020.01.05,1.4
2020.01.06,0
2020.01.07,0.2
2020.01.08,0
2020.01.09,0.2
2020.01.10,0.4
2020.01.11,3.4
2020.01.12,2.5
2020.01.13,1.2
2020.01.14,1.2
2020.01.15,1.4
2020.01.16,1.5
2020.01.17,1.1
2020.01.18,0.5
2020.01.19,1.5
2020.01.20,2.2
2020.01.21,1.6
2020.01.22,1
2020.01.23,1.4
2020.01.24,0
2020.01.25,0.4
2020.01.26,0.8
2020.01.27,3.6
2020.01.28,2.5
2020.01.29,3.4
2020.01.30,2.4
2020.01.31,6.3
2020.02.01,8.1
2020.02.02,10.7
2020.02.03,9.1
2020.02.04,5.2
2020.02.05,4
2020.02.06,2.1
2020.02.07,4
2020.02.08,1.7
2020.02.09,2.4
2020.02.10,7.8
2020.02.11,6.2
2020.02.12,4.3
2020.02.13,4.4
2020.02.14,6.5
2020.02.15,5.4
2020.02.16,5.6
2020.02.17,7.3
2020.02.18,8.4
2020.02.19,5.5
2020.02.20,4.5
2020.02.21,5.2
2020.02.22,5.1
2020.02.23,7.9
2020.02.24,8.7
2020.02.25,9.3
2020.02.26,6.8
2020.02.27,4.7
2020.02.28,4.6
2020.02.29,5.2
2020.03.01,8.1
2020.03.02,10
2020.03.03,8.3
2020.03.04,7
2020.03.05,6.4
2020.03.06,4.7
2020.03.07,7.1
2020.03.08,5.8
2020.03.09,6.7
2020.03.10,7.9
2020.03.11,10.7
2020.03.12,13.1
2020.03.13,10.2
2020.03.14,7.3
2020.03.15,5.5
2020.03.16,6.6
2020.03.17,8.6
2020.03.18,11.7
2020.03.19,13.1
2020.03.20,14.1
2020.03.21,10.1
2020.03.22,3.6
2020.03.23,1.9
2020.03.24,3.2
2020.03.25,2.8
2020.03.26,7.5
2020.03.27,10.3
2020.03.28,12.2
2020.03.29,12.3
2020.03.30,5.1
2020.03.31,5
2020.04.01,6.6
2020.04.02,7.2
2020.04.03,9
2020.04.04,10.8
2020.04.05,11.9
2020.04.06,11.8
2020.04.07,12.6
2020.04.08,14.5
2020.04.09,15.9
2020.04.10,15.7
2020.04.11,14.8
2020.04.12,14.4
2020.04.13,16.5
2020.04.14,9.1
2020.04.15,9.5
2020.04.16,13.8
2020.04.17,16.4
2020.04.18,16.6
2020.04.19,14.7
2020.04.20,11.9
2020.04.21,12
2020.04.22,12.8
2020.04.23,14.1
2020.04.24,15.2
2020.04.25,15.4
2020.04.26,13.8
2020.04.27,14.9
2020.04.28,17.2
2020.04.29,16.3
2020.04.30,16.6
2020.05.01,16.6
2020.05.02,15.9
2020.05.03,14.4
2020.05.04,14.8
2020.05.05,14.8
2020.05.06,11.8
2020.05.07,12.9
2020.05.08,15.8
2020.05.09,18.6
2020.05.10,19.9
2020.05.11,20.2
2020.05.12,12
2020.05.13,9.3
2020.05.14,16.9
2020.05.15,15.3
2020.05.16,14.5
2020.05.17,16.9
2020.05.18,19
2020.05.19,20.9
2020.05.20,17.7
2020.05.21,16.6
2020.05.22,15.1
2020.05.23,14.9
2020.05.24,16
2020.05.25,15
2020.05.26,15.5
2020.05.27,17
2020.05.28,17
2020.05.29,16.5
2020.05.30,16.1
2020.05.31,12.1
2020.06.01,17.3
2020.06.02,16.7
2020.06.03,16.8
2020.06.04,19.6
2020.06.05,20
2020.06.06,20.4
2020.06.07,23.2
2020.06.08,19.5
2020.06.09,21
2020.06.10,21.9
2020.06.11,21.9
2020.06.12,21.5
2020.06.13,24.7
2020.06.14,25.3
2020.06.15,20.9
2020.06.16,19.7
2020.06.17,21
2020.06.18,20.6
2020.06.19,20.4
2020.06.20,18.5
2020.06.21,18.2
2020.06.22,20
2020.06.23,22.5
2020.06.24,20.5
2020.06.25,22.9
2020.06.26,25
2020.06.27,25.6
2020.06.28,28
2020.06.29,25.6
2020.06.30,22.8
2020.07.01,25.6
2020.07.02,27.5
2020.07.03,23.3
2020.07.04,24.3
2020.07.05,24.3
2020.07.06,25.9
2020.07.07,19.5
2020.07.08,21.4
2020.07.09,23.1
2020.07.10,26.3
2020.07.11,24.7
2020.07.12,19.4
2020.07.13,20.5
2020.07.14,21
2020.07.15,22.1
2020.07.16,21.6
2020.07.17,19.8
2020.07.18,19.2
2020.07.19,21.9
2020.07.20,23.7
2020.07.21,25.6
2020.07.22,24.6
2020.07.23,26.1
2020.07.24,25.5
2020.07.25,23.8
2020.07.26,24.3
2020.07.27,25.3
2020.07.28,27.8
2020.07.29,27.2
2020.07.30,28.4
2020.07.31,28
2020.08.01,25
2020.08.02,25.2
2020.08.03,26.6
2020.08.04,25.1
2020.08.05,22.8
2020.08.06,25.1
2020.08.07,27.1
2020.08.08,28.6
2020.08.09,28.9
2020.08.10,29.2
2020.08.11,28.3
2020.08.12,28.1
2020.08.13,27
2020.08.14,27.8
2020.08.15,26
2020.08.16,23.3
2020.08.17,26.4
2020.08.18,24.8
2020.08.19,24.5
2020.08.20,25.1
2020.08.21,27
2020.08.22,28.1
2020.08.23,25.2
2020.08.24,25.5
2020.08.25,23.9
2020.08.26,25.4
2020.08.27,22.8
2020.08.28,24.1
2020.08.29,27.4
2020.08.30,28.9
2020.08.31,22.7
2020.09.01,17.7
2020.09.02,19
2020.09.03,21.1
2020.09.04,21.3
2020.09.05,24.3
2020.09.06,25.6
2020.09.07,23.5
2020.09.08,21.7
2020.09.09,23.3
2020.09.10,23.7
2020.09.11,23.6
2020.09.12,25.1
2020.09.13,26.3
2020.09.14,26.5
2020.09.15,26.8
2020.09.16,26.8
2020.09.17,25.2
2020.09.18,20.4
2020.09.19,19.8
2020.09.20,21
2020.09.21,22.3
2020.09.22,23.3
2020.09.23,22.9
2020.09.24,21.9
2020.09.25,20.1
2020.09.26,15.1
2020.09.27,13.2
2020.09.28,16.5
2020.09.29,15.2
2020.09.30,14
2020.10.01,14.9
2020.10.02,17.1
2020.10.03,21.6
2020.10.04,20
2020.10.05,19.5
2020.10.06,18.4
2020.10.07,15.2
